question|option_a|option_b|option_c|option_d|correct_answer|solution
What is the powerhouse of the cell?|Nucleus|Mitochondria|Ribosome|Endoplasmic reticulum|B|Mitochondria are called the powerhouse of the cell because they produce ATP through cellular respiration.
Which process converts light energy into chemical energy in plants?|Respiration|Photosynthesis|Transpiration|Fermentation|B|Photosynthesis is the process where plants convert light energy (from sunlight) into chemical energy (glucose).
What is the basic unit of heredity?|Chromosome|DNA|Gene|Allele|C|A gene is the basic unit of heredity that carries information from parents to offspring.
Which blood group is considered the universal donor?|A|B|AB|O|D|Blood group O (especially O-negative) is the universal donor because it lacks A and B antigens.
What is the study of plants called?|Zoology|Botany|Ecology|Anatomy|B|Botany is the scientific study of plants, including their structure, growth, reproduction, and evolution.
Which organelle is responsible for protein synthesis?|Golgi apparatus|Lysosomes|Ribosomes|Vacuoles|C|Ribosomes are the cellular organelles responsible for protein synthesis by translating mRNA into proteins.
What is the normal human body temperature?|36.5°C|37°C|38°C|39°C|B|The normal human body temperature is approximately 37°C (98.6°F), regulated by the hypothalamus.
Which hormone regulates blood sugar levels?|Thyroxine|Insulin|Adrenaline|Growth hormone|B|Insulin, produced by pancreatic beta cells, regulates blood glucose levels.
What is the largest organ in the human body?|Liver|Lungs|Skin|Brain|C|The skin is the largest organ in the human body, covering the entire external surface.
Which gas is primarily responsible for the greenhouse effect?|Oxygen|Nitrogen|Carbon dioxide|Hydrogen|C|Carbon dioxide is the primary greenhouse gas responsible for trapping heat in Earth's atmosphere.
What is the functional unit of the kidney?|Glomerulus|Nephron|Bowman's capsule|Loop of Henle|B|The nephron is the functional unit of the kidney, responsible for filtration, reabsorption, and excretion.
Which vitamin is synthesized in the skin upon exposure to sunlight?|Vitamin A|Vitamin B|Vitamin C|Vitamin D|D|Vitamin D is synthesized in the skin when exposed to UVB radiation from sunlight.
What is the process of programmed cell death called?|Necrosis|Apoptosis|Mitosis|Meiosis|B|Apoptosis is programmed cell death, a normal physiological process essential for development.
Which part of the brain controls balance and coordination?|Cerebrum|Cerebellum|Medulla oblongata|Hypothalamus|B|The cerebellum is responsible for balance, coordination, and fine motor control.
What is the hardest substance in the human body?|Bone|Cartilage|Tooth enamel|Nail|C|Tooth enamel is the hardest substance in the human body, composed primarily of hydroxyapatite crystals.
Which type of muscle is found in the heart?|Skeletal muscle|Smooth muscle|Cardiac muscle|Voluntary muscle|C|Cardiac muscle is the specialized muscle tissue found only in the heart.
What is the scientific name for humans?|Homo erectus|Homo sapiens|Homo habilis|Homo neanderthalensis|B|Homo sapiens is the scientific name for modern humans, meaning 'wise man' in Latin.
Which component of blood is responsible for clotting?|Red blood cells|White blood cells|Platelets|Plasma|C|Platelets (thrombocytes) are responsible for blood clotting and hemostasis.
What is the term for organisms that make their own food?|Heterotrophs|Autotrophs|Decomposers|Parasites|B|Autotrophs are organisms that can produce their own food using light energy (photosynthesis).
Which acid is found in the stomach?|Sulfuric acid|Nitric acid|Hydrochloric acid|Acetic acid|C|Hydrochloric acid (HCl) is produced by parietal cells in the stomach for digestion.
What is the longest bone in the human body?|Tibia|Femur|Humerus|Radius|B|The femur (thighbone) is the longest and strongest bone in the human body.
Which enzyme breaks down starch into sugars?|Pepsin|Amylase|Lipase|Trypsin|B|Amylase is the enzyme that breaks down starch into maltose and other simple sugars.
What is the primary function of hemoglobin?|Blood clotting|Fighting infections|Oxygen transport|Nutrient transport|C|Hemoglobin is the iron-containing protein in red blood cells that transports oxygen.
Which organelle contains the cell's genetic material?|Cytoplasm|Nucleus|Mitochondria|Endoplasmic reticulum|B|The nucleus contains the cell's genetic material (DNA) and controls cellular activities.
What is the process of water loss from plant leaves called?|Photosynthesis|Respiration|Transpiration|Translation|C|Transpiration is the process of water loss from plant leaves through stomata.
